0,Country,Region,Renovation work,Material,Thickness [cm],Lambda [mK/W],Uw [W/m2K],Power [kW],Solar collector area [m2],Capacity [l],Price [€/m2],Price [€],Price [€/kW],"Source Author, Title, Year",Source link,,,,,
8,Italy,Lombardia,Roof insulation - Makeover,PUR,6,0.026,,,,, 159.80 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2025",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Floor insulation,EPS,30,0.036,,,,, 173.25 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2024",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Windows,PVC,,,1,,,, 654.36 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2024",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Windows,Wood,,,1,,,, 735.96 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2025",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Windows,Al,,,1,,,, 328.58 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2026",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Air-water Heat Pump,,,,,5.08,,,," 5,247.52 € "," 1,032.98 € ",Ryland et al. Heating economics evaluated against emissions: An analysis of low-carbon heating systems with spatiotemporal and dwelling variations. 2022,https://www.sciencedirect.com/science/article/pii/S037877882200732,,,,,
8,Italy,Lombardia,Condensing boiler,,,,,18,,,," 5,775.48 € ", 320.86 € ,"own estimation based on: 
Fleiter, T., Steinbach, J., Ragwitz, M. 
Mapping and analyses of the current and future (2020 - 2030)
heating/cooling fuel deployment (fossil/renewables). 2016",https://ec.europa.eu/energy/sites/ener/files/documents/mapping-hc-final_report-wp2.pdf,,,,,
8,Italy,Lombardia,PV,,,,,1,,,," 1,375.00 € "," 1,375.00 € ","National Survey Report of PV Power Applications in Italy 2022 Tilli F., Maugeri G., Roca F., Scipioni A. National Survey Report of PV Power Applications in Italy. 2022",https://www.gse.it/documenti_site/Documenti%20GSE/Studi%20e%20scenari/National%20Survey%20Report%20PV%20Italy%202022.pdf,,,,,
8,Italy,Lombardia,Solar thermal panels,,,,,57.8,,,," 56,990.80 € ", 986.00 € ," Estimation based on: 
Fleiter, T., Steinbach, J., Ragwitz, M. 
Mapping and analyses of the current and future (2020 - 2030)
heating/cooling fuel deployment (fossil/renewables). 2016 ",https://ec.europa.eu/energy/sites/ener/files/documents/mapping-hc-final_report-wp2.pdf,,,,,
9,Netherlands,General,Wall insulation,EPS,12,0.033,,,,, 150.00 € ,, -   € ,Bricknest. Spouwmuur- en gevelisolatie gids: opties en kosten. 2024,https://www.bricknest.nl/blog/spouwmuur-en-gevelisolatie-gids-opties-en-kosten,,,,,
9,Netherlands,General,Wall insulation - additional,,,,,,,,,, -   € ,,,,,,,
9,Netherlands,General,Roof insulation - Accessible,MW,10,0.033,,,,, 40.00 € ,, -   € ,Homedeal. Dakrenovatie kosten. 2025,https://www.homedeal.nl/dakbedekking/dakrenovatie-kosten/,,,,,
